year,round,constructor_id,constructor_name,constructor_champ_pos,constructor_champ_pts,constructor_wins
2016,15,mclaren,McLaren,6,54.0,0
2016,15,toro_rosso,Toro Rosso,7,47.0,0
2016,15,haas,Haas F1 Team,8,28.0,0
2016,15,renault,Renault,9,7.0,0
2016,15,manor,Manor Marussia,10,1.0,0
2016,15,sauber,Sauber,11,0.0,0
2016,16,mercedes,Mercedes,1,553.0,14
2016,16,red_bull,Red Bull,2,359.0,2
2016,16,ferrari,Ferrari,3,313.0,0
2016,16,force_india,Force India,4,124.0,0
2016,16,williams,Williams,5,121.0,0
2016,16,mclaren,McLaren,6,62.0,0
2016,16,toro_rosso,Toro Rosso,7,47.0,0
2016,16,haas,Haas F1 Team,8,28.0,0
2016,16,renault,Renault,9,8.0,0
2016,16,manor,Manor Marussia,10,1.0,0
2016,16,sauber,Sauber,11,0.0,0
2016,17,mercedes,Mercedes,1,593.0,15
2016,17,red_bull,Red Bull,2,385.0,2
2016,17,ferrari,Ferrari,3,335.0,0
2016,17,force_india,Force India,4,134.0,0
2016,17,williams,Williams,5,124.0,0
2016,17,mclaren,McLaren,6,62.0,0
2016,17,toro_rosso,Toro Rosso,7,47.0,0
2016,17,haas,Haas F1 Team,8,28.0,0
2016,17,renault,Renault,9,8.0,0
2016,17,manor,Manor Marussia,10,1.0,0
2016,17,sauber,Sauber,11,0.0,0
2016,18,mercedes,Mercedes,1,636.0,16
2016,18,red_bull,Red Bull,2,400.0,2
2016,18,ferrari,Ferrari,3,347.0,0
2016,18,force_india,Force India,4,138.0,0
2016,18,williams,Williams,5,130.0,0
2016,18,mclaren,McLaren,6,74.0,0
2016,18,toro_rosso,Toro Rosso,7,55.0,0
2016,18,haas,Haas F1 Team,8,29.0,0
2016,18,renault,Renault,9,8.0,0
2016,18,manor,Manor Marussia,10,1.0,0
2016,18,sauber,Sauber,11,0.0,0
2016,19,mercedes,Mercedes,1,679.0,17
2016,19,red_bull,Red Bull,2,427.0,2
2016,19,ferrari,Ferrari,3,365.0,0
2016,19,force_india,Force India,4,145.0,0
2016,19,williams,Williams,5,136.0,0
2016,19,mclaren,McLaren,6,74.0,0
2016,19,toro_rosso,Toro Rosso,7,55.0,0
2016,19,haas,Haas F1 Team,8,29.0,0
2016,19,renault,Renault,9,8.0,0
2016,19,manor,Manor Marussia,10,1.0,0
2016,19,sauber,Sauber,11,0.0,0
2016,20,mercedes,Mercedes,1,722.0,18
2016,20,red_bull,Red Bull,2,446.0,2
2016,20,ferrari,Ferrari,3,375.0,0
2016,20,force_india,Force India,4,163.0,0
2016,20,williams,Williams,5,136.0,0
2016,20,mclaren,McLaren,6,75.0,0
2016,20,toro_rosso,Toro Rosso,7,63.0,0
2016,20,haas,Haas F1 Team,8,29.0,0
2016,20,renault,Renault,9,8.0,0
2016,20,sauber,Sauber,10,2.0,0
2016,20,manor,Manor Marussia,11,1.0,0
2016,21,mercedes,Mercedes,1,765.0,19
2016,21,red_bull,Red Bull,2,468.0,2
2016,21,ferrari,Ferrari,3,398.0,0
2016,21,force_india,Force India,4,173.0,0
2016,21,williams,Williams,5,138.0,0
2016,21,mclaren,McLaren,6,76.0,0
2016,21,toro_rosso,Toro Rosso,7,63.0,0
2016,21,haas,Haas F1 Team,8,29.0,0
2016,21,renault,Renault,9,8.0,0
2016,21,sauber,Sauber,10,2.0,0
2016,21,manor,Manor Marussia,11,1.0,0
2017,1,ferrari,Ferrari,1,37.0,1
2017,1,mercedes,Mercedes,2,33.0,0
2017,1,red_bull,Red Bull,3,10.0,0
2017,1,williams,Williams,4,8.0,0
2017,1,force_india,Force India,5,7.0,0
2017,1,toro_rosso,Toro Rosso,6,6.0,0
2017,1,renault,Renault,7,0.0,0
2017,1,sauber,Sauber,8,0.0,0
2017,1,mclaren,McLaren,9,0.0,0
2017,1,haas,Haas F1 Team,0,0.0,0
2017,2,mercedes,Mercedes,1,66.0,1
2017,2,ferrari,Ferrari,2,65.0,1
2017,2,red_bull,Red Bull,3,37.0,0
2017,2,toro_rosso,Toro Rosso,4,12.0,0
2017,2,force_india,Force India,5,10.0,0
2017,2,williams,Williams,6,8.0,0
2017,2,haas,Haas F1 Team,7,4.0,0
2017,2,renault,Renault,8,0.0,0
2017,2,sauber,Sauber,9,0.0,0
2017,2,mclaren,McLaren,10,0.0,0
2017,3,ferrari,Ferrari,1,102.0,2
2017,3,mercedes,Mercedes,2,99.0,1
2017,3,red_bull,Red Bull,3,47.0,0
2017,3,force_india,Force India,4,17.0,0
2017,3,williams,Williams,5,16.0,0
2017,3,toro_rosso,Toro Rosso,6,12.0,0
2017,3,haas,Haas F1 Team,7,8.0,0
2017,3,renault,Renault,8,2.0,0
2017,3,sauber,Sauber,9,0.0,0
2017,3,mclaren,McLaren,10,0.0,0
2017,4,mercedes,Mercedes,1,136.0,2
2017,4,ferrari,Ferrari,2,135.0,2
2017,4,red_bull,Red Bull,3,57.0,0
2017,4,force_india,Force India,4,31.0,0
2017,4,williams,Williams,5,18.0,0
2017,4,toro_rosso,Toro Rosso,6,13.0,0
2017,4,haas,Haas F1 Team,7,8.0,0
2017,4,renault,Renault,8,6.0,0
2017,4,sauber,Sauber,9,0.0,0
2017,4,mclaren,McLaren,10,0.0,0
2017,5,mercedes,Mercedes,1,161.0,3
2017,5,ferrari,Ferrari,2,153.0,2
2017,5,red_bull,Red Bull,3,72.0,0
2017,5,force_india,Force India,4,53.0,0
2017,5,toro_rosso,Toro Rosso,5,21.0,0
2017,5,williams,Williams,6,18.0,0
2017,5,renault,Renault,7,14.0,0
2017,5,haas,Haas F1 Team,8,9.0,0
2017,5,sauber,Sauber,9,4.0,0
2017,5,mclaren,McLaren,10,0.0,0
2017,6,ferrari,Ferrari,1,196.0,3
2017,6,mercedes,Mercedes,2,179.0,3
2017,6,red_bull,Red Bull,3,97.0,0
2017,6,force_india,Force India,4,53.0,0
2017,6,toro_rosso,Toro Rosso,5,29.0,0
2017,6,williams,Williams,6,20.0,0
2017,6,renault,Renault,7,14.0,0
2017,6,haas,Haas F1 Team,8,14.0,0
2017,6,sauber,Sauber,9,4.0,0
2017,6,mclaren,McLaren,10,0.0,0
2017,7,mercedes,Mercedes,1,222.0,4
2017,7,ferrari,Ferrari,2,214.0,3
2017,7,red_bull,Red Bull,3,112.0,0
2017,7,force_india,Force India,4,71.0,0
2017,7,toro_rosso,Toro Rosso,5,29.0,0
2017,7,williams,Williams,6,22.0,0
2017,7,renault,Renault,7,18.0,0
2017,7,haas,Haas F1 Team,8,15.0,0
2017,7,sauber,Sauber,9,4.0,0
2017,7,mclaren,McLaren,10,0.0,0
2017,8,mercedes,Mercedes,1,250.0,4
2017,8,ferrari,Ferrari,2,226.0,3
2017,8,red_bull,Red Bull,3,137.0,1
2017,8,force_india,Force India,4,79.0,0
2017,8,williams,Williams,5,37.0,0
2017,8,toro_rosso,Toro Rosso,6,33.0,0
2017,8,haas,Haas F1 Team,7,21.0,0
2017,8,renault,Renault,8,18.0,0
2017,8,sauber,Sauber,9,5.0,0
2017,8,mclaren,McLaren,10,2.0,0
2017,9,mercedes,Mercedes,1,287.0,5
2017,9,ferrari,Ferrari,2,254.0,3
2017,9,red_bull,Red Bull,3,152.0,1
2017,9,force_india,Force India,4,89.0,0
2017,9,williams,Williams,5,40.0,0
2017,9,toro_rosso,Toro Rosso,6,33.0,0
2017,9,haas,Haas F1 Team,7,29.0,0
2017,9,renault,Renault,8,18.0,0
2017,9,sauber,Sauber,9,5.0,0
2017,9,mclaren,McLaren,10,2.0,0
2017,10,mercedes,Mercedes,1,330.0,6
2017,10,ferrari,Ferrari,2,275.0,3
2017,10,red_bull,Red Bull,3,174.0,1
2017,10,force_india,Force India,4,95.0,0
2017,10,williams,Williams,5,41.0,0
2017,10,toro_rosso,Toro Rosso,6,33.0,0
2017,10,haas,Haas F1 Team,7,29.0,0
2017,10,renault,Renault,8,26.0,0
2017,10,sauber,Sauber,9,5.0,0
2017,10,mclaren,McLaren,10,2.0,0
2017,11,mercedes,Mercedes,1,357.0,6
2017,11,ferrari,Ferrari,2,318.0,4
2017,11,red_bull,Red Bull,3,184.0,1
2017,11,force_india,Force India,4,101.0,0
2017,11,williams,Williams,5,41.0,0
2017,11,toro_rosso,Toro Rosso,6,39.0,0
2017,11,haas,Haas F1 Team,7,29.0,0
2017,11,renault,Renault,8,26.0,0
2017,11,mclaren,McLaren,9,11.0,0
2017,11,sauber,Sauber,10,5.0,0
2017,12,mercedes,Mercedes,1,392.0,7
2017,12,ferrari,Ferrari,2,348.0,4
2017,12,red_bull,Red Bull,3,199.0,1
2017,12,force_india,Force India,4,103.0,0
2017,12,williams,Williams,5,45.0,0
2017,12,toro_rosso,Toro Rosso,6,40.0,0
2017,12,haas,Haas F1 Team,7,35.0,0
2017,12,renault,Renault,8,34.0,0
2017,12,mclaren,McLaren,9,11.0,0
2017,12,sauber,Sauber,10,5.0,0
2017,13,mercedes,Mercedes,1,435.0,8
2017,13,ferrari,Ferrari,2,373.0,4
2017,13,red_bull,Red Bull,3,212.0,1
2017,13,force_india,Force India,4,113.0,0
2017,13,williams,Williams,5,55.0,0
2017,13,toro_rosso,Toro Rosso,6,40.0,0
2017,13,haas,Haas F1 Team,7,35.0,0
2017,13,renault,Renault,8,34.0,0
2017,13,mclaren,McLaren,9,11.0,0
2017,13,sauber,Sauber,10,5.0,0
2017,14,mercedes,Mercedes,1,475.0,9
2017,14,ferrari,Ferrari,2,373.0,4
2017,14,red_bull,Red Bull,3,230.0,1
2017,14,force_india,Force India,4,124.0,0
2017,14,williams,Williams,5,59.0,0
2017,14,toro_rosso,Toro Rosso,6,52.0,0
2017,14,renault,Renault,7,42.0,0
2017,14,haas,Haas F1 Team,8,37.0,0
2017,14,mclaren,McLaren,9,17.0,0
2017,14,sauber,Sauber,10,5.0,0
2017,15,mercedes,Mercedes,1,503.0,9
2017,15,ferrari,Ferrari,2,385.0,4
2017,15,red_bull,Red Bull,3,270.0,2
2017,15,force_india,Force India,4,133.0,0
2017,15,williams,Williams,5,65.0,0
2017,15,toro_rosso,Toro Rosso,6,52.0,0
2017,15,renault,Renault,7,42.0,0
2017,15,haas,Haas F1 Team,8,37.0,0
2017,15,mclaren,McLaren,9,23.0,0
2017,15,sauber,Sauber,10,5.0,0
2017,16,mercedes,Mercedes,1,540.0,10
2017,16,ferrari,Ferrari,2,395.0,4
2017,16,red_bull,Red Bull,3,303.0,2
2017,16,force_india,Force India,4,147.0,0
2017,16,williams,Williams,5,66.0,0
2017,16,toro_rosso,Toro Rosso,6,52.0,0
2017,16,haas,Haas F1 Team,7,43.0,0
2017,16,renault,Renault,8,42.0,0
2017,16,mclaren,McLaren,9,23.0,0
2017,16,sauber,Sauber,10,5.0,0
2017,17,mercedes,Mercedes,1,575.0,11
2017,17,ferrari,Ferrari,2,428.0,4
2017,17,red_bull,Red Bull,3,315.0,2
2017,17,force_india,Force India,4,159.0,0
2017,17,williams,Williams,5,68.0,0
2017,17,toro_rosso,Toro Rosso,6,53.0,0
2017,17,renault,Renault,7,48.0,0
2017,17,haas,Haas F1 Team,8,43.0,0
2017,17,mclaren,McLaren,9,23.0,0
2017,17,sauber,Sauber,10,5.0,0
2017,18,mercedes,Mercedes,1,595.0,11
2017,18,ferrari,Ferrari,2,455.0,4
2017,18,red_bull,Red Bull,3,340.0,3
2017,18,force_india,Force India,4,175.0,0
2017,18,williams,Williams,5,76.0,0
2017,18,toro_rosso,Toro Rosso,6,53.0,0
2017,18,renault,Renault,7,48.0,0
2017,18,haas,Haas F1 Team,8,47.0,0
2017,18,mclaren,McLaren,9,24.0,0
2017,18,sauber,Sauber,10,5.0,0
2017,19,mercedes,Mercedes,1,625.0,11
2017,19,ferrari,Ferrari,2,495.0,5
2017,19,red_bull,Red Bull,3,358.0,3
2017,19,force_india,Force India,4,177.0,0
2017,19,williams,Williams,5,82.0,0
2017,19,toro_rosso,Toro Rosso,6,53.0,0
2017,19,renault,Renault,7,49.0,0
2017,19,haas,Haas F1 Team,8,47.0,0
2017,19,mclaren,McLaren,9,28.0,0
2017,19,sauber,Sauber,10,5.0,0
2017,20,mercedes,Mercedes,1,668.0,12
2017,20,ferrari,Ferrari,2,522.0,5
2017,20,red_bull,Red Bull,3,368.0,3
2017,20,force_india,Force India,4,187.0,0
2017,20,williams,Williams,5,83.0,0
2017,20,renault,Renault,6,57.0,0
2017,20,toro_rosso,Toro Rosso,7,53.0,0
2017,20,haas,Haas F1 Team,8,47.0,0
2017,20,mclaren,McLaren,9,30.0,0
2017,20,sauber,Sauber,10,5.0,0
2018,1,ferrari,Ferrari,1,40.0,1
2018,1,mercedes,Mercedes,2,22.0,0
2018,1,red_bull,Red Bull,3,20.0,0
2018,1,mclaren,McLaren,4,12.0,0
2018,1,renault,Renault,5,7.0,0
2018,1,force_india,Force India,6,0.0,0
2018,1,sauber,Sauber,7,0.0,0
2018,1,williams,Williams,8,0.0,0
2018,1,toro_rosso,Toro Rosso,9,0.0,0
2018,1,haas,Haas F1 Team,0,0.0,0
2018,2,ferrari,Ferrari,1,65.0,2
2018,2,mercedes,Mercedes,2,55.0,0
2018,2,mclaren,McLaren,3,22.0,0
2018,2,red_bull,Red Bull,4,20.0,0
2018,2,renault,Renault,5,15.0,0
2018,2,toro_rosso,Toro Rosso,6,12.0,0
2018,2,haas,Haas F1 Team,7,10.0,0
2018,2,sauber,Sauber,8,2.0,0
2018,2,force_india,Force India,9,1.0,0
2018,2,williams,Williams,10,0.0,0
2018,3,mercedes,Mercedes,1,85.0,0
2018,3,ferrari,Ferrari,2,84.0,2
2018,3,red_bull,Red Bull,3,55.0,1
2018,3,mclaren,McLaren,4,28.0,0
2018,3,renault,Renault,5,25.0,0
2018,3,toro_rosso,Toro Rosso,6,12.0,0
2018,3,haas,Haas F1 Team,7,11.0,0
2018,3,sauber,Sauber,8,2.0,0
2018,3,force_india,Force India,9,1.0,0
2018,3,williams,Williams,10,0.0,0
2018,4,ferrari,Ferrari,1,114.0,2
2018,4,mercedes,Mercedes,2,110.0,1
2018,4,red_bull,Red Bull,3,55.0,1
2018,4,mclaren,McLaren,4,36.0,0
2018,4,renault,Renault,5,35.0,0
2018,4,force_india,Force India,6,16.0,0
2018,4,toro_rosso,Toro Rosso,7,13.0,0
2018,4,haas,Haas F1 Team,8,11.0,0
2018,4,sauber,Sauber,9,10.0,0
2018,4,williams,Williams,10,4.0,0
2018,5,mercedes,Mercedes,1,153.0,2
2018,5,ferrari,Ferrari,2,126.0,2
2018,5,red_bull,Red Bull,3,80.0,1
2018,5,renault,Renault,4,41.0,0
2018,5,mclaren,McLaren,5,40.0,0
2018,5,haas,Haas F1 Team,6,19.0,0
2018,5,force_india,Force India,7,18.0,0
2018,5,toro_rosso,Toro Rosso,8,13.0,0
2018,5,sauber,Sauber,9,11.0,0
2018,5,williams,Williams,10,4.0,0
2018,6,mercedes,Mercedes,1,178.0,2
2018,6,ferrari,Ferrari,2,156.0,2
2018,6,red_bull,Red Bull,3,107.0,2
2018,6,renault,Renault,4,46.0,0
2018,6,mclaren,McLaren,5,40.0,0
2018,6,force_india,Force India,6,26.0,0
2018,6,toro_rosso,Toro Rosso,7,19.0,0
2018,6,haas,Haas F1 Team,8,19.0,0
2018,6,sauber,Sauber,9,11.0,0
2018,6,williams,Williams,10,4.0,0
2018,7,mercedes,Mercedes,1,206.0,2
2018,7,ferrari,Ferrari,2,189.0,3
2018,7,red_bull,Red Bull,3,134.0,2
2018,7,renault,Renault,4,56.0,0
2018,7,mclaren,McLaren,5,40.0,0
2018,7,force_india,Force India,6,28.0,0
2018,7,toro_rosso,Toro Rosso,7,19.0,0
2018,7,haas,Haas F1 Team,8,19.0,0
2018,7,sauber,Sauber,9,12.0,0
2018,7,williams,Williams,10,4.0,0
2018,8,mercedes,Mercedes,1,237.0,3
2018,8,ferrari,Ferrari,2,214.0,3
2018,8,red_bull,Red Bull,3,164.0,2
2018,8,renault,Renault,4,62.0,0
2018,8,mclaren,McLaren,5,40.0,0
2018,8,force_india,Force India,6,28.0,0
2018,8,haas,Haas F1 Team,7,27.0,0
2018,8,toro_rosso,Toro Rosso,8,19.0,0
2018,8,sauber,Sauber,9,13.0,0
2018,8,williams,Williams,10,4.0,0
2018,9,ferrari,Ferrari,1,247.0,3
2018,9,mercedes,Mercedes,2,237.0,3
2018,9,red_bull,Red Bull,3,189.0,3
2018,9,renault,Renault,4,62.0,0
2018,9,haas,Haas F1 Team,5,49.0,0
2018,9,mclaren,McLaren,6,44.0,0
2018,9,force_india,Force India,7,42.0,0
2018,9,toro_rosso,Toro Rosso,8,19.0,0
2018,9,sauber,Sauber,9,16.0,0
2018,9,williams,Williams,10,4.0,0
2018,10,ferrari,Ferrari,1,287.0,4
2018,10,mercedes,Mercedes,2,267.0,3
2018,10,red_bull,Red Bull,3,199.0,3
2018,10,renault,Renault,4,70.0,0
2018,10,haas,Haas F1 Team,5,51.0,0
2018,10,force_india,Force India,6,49.0,0
2018,10,mclaren,McLaren,7,48.0,0
2018,10,toro_rosso,Toro Rosso,8,19.0,0
2018,10,sauber,Sauber,9,16.0,0
2018,10,williams,Williams,10,4.0,0
2018,11,mercedes,Mercedes,1,310.0,4
2018,11,ferrari,Ferrari,2,302.0,4
2018,11,red_bull,Red Bull,3,211.0,3
2018,11,renault,Renault,4,80.0,0
2018,11,force_india,Force India,5,59.0,0
2018,11,haas,Haas F1 Team,6,59.0,0
2018,11,mclaren,McLaren,7,48.0,0
2018,11,toro_rosso,Toro Rosso,8,20.0,0
2018,11,sauber,Sauber,9,18.0,0
2018,11,williams,Williams,10,4.0,0
2018,12,mercedes,Mercedes,1,345.0,5
2018,12,ferrari,Ferrari,2,335.0,4
2018,12,red_bull,Red Bull,3,223.0,3
2018,12,renault,Renault,4,82.0,0
2018,12,haas,Haas F1 Team,5,66.0,0
2018,12,force_india,Force India,6,59.0,0
2018,12,mclaren,McLaren,7,52.0,0
2018,12,toro_rosso,Toro Rosso,8,28.0,0
2018,12,sauber,Sauber,9,18.0,0
2018,12,williams,Williams,10,4.0,0
2018,13,mercedes,Mercedes,1,375.0,5
2018,13,ferrari,Ferrari,2,360.0,5
2018,13,red_bull,Red Bull,3,238.0,3
2018,13,renault,Renault,4,82.0,0
2018,13,force_india,Force India,5,77.0,0
2018,13,haas,Haas F1 Team,6,76.0,0
2018,13,mclaren,McLaren,7,52.0,0
2018,13,toro_rosso,Toro Rosso,8,30.0,0
2018,13,sauber,Sauber,9,19.0,0
2018,13,williams,Williams,10,4.0,0
2018,14,mercedes,Mercedes,1,415.0,6
2018,14,ferrari,Ferrari,2,390.0,5
2018,14,red_bull,Red Bull,3,248.0,3
2018,14,force_india,Force India,4,91.0,0
2018,14,renault,Renault,5,86.0,0
2018,14,haas,Haas F1 Team,6,76.0,0
2018,14,mclaren,McLaren,7,52.0,0
2018,14,toro_rosso,Toro Rosso,8,30.0,0
2018,14,sauber,Sauber,9,19.0,0
2018,14,williams,Williams,10,7.0,0
2018,15,mercedes,Mercedes,1,452.0,7
2018,15,ferrari,Ferrari,2,415.0,5
2018,15,red_bull,Red Bull,3,274.0,3
2018,15,force_india,Force India,4,91.0,0
2018,15,renault,Renault,5,91.0,0
2018,15,haas,Haas F1 Team,6,76.0,0
2018,15,mclaren,McLaren,7,58.0,0
2018,15,toro_rosso,Toro Rosso,8,30.0,0
2018,15,sauber,Sauber,9,21.0,0
2018,15,williams,Williams,10,7.0,0
2018,16,mercedes,Mercedes,1,495.0,8
2018,16,ferrari,Ferrari,2,442.0,5
2018,16,red_bull,Red Bull,3,292.0,3
2018,16,force_india,Force India,4,94.0,0
2018,16,renault,Renault,5,91.0,0
2018,16,haas,Haas F1 Team,6,80.0,0
2018,16,mclaren,McLaren,7,58.0,0
2018,16,toro_rosso,Toro Rosso,8,30.0,0
2018,16,sauber,Sauber,9,27.0,0
2018,16,williams,Williams,10,7.0,0
2018,17,mercedes,Mercedes,1,538.0,9
2018,17,ferrari,Ferrari,2,460.0,5
2018,17,red_bull,Red Bull,3,319.0,3
2018,17,force_india,Force India,4,102.0,0
2018,17,renault,Renault,5,92.0,0
2018,17,haas,Haas F1 Team,6,84.0,0
2018,17,mclaren,McLaren,7,58.0,0
2018,17,toro_rosso,Toro Rosso,8,30.0,0
2018,17,sauber,Sauber,9,27.0,0
2018,17,williams,Williams,10,7.0,0
